year,1435.0,1436.0,1437.0,1440.0,1441.0,1442.0,1443.0,1449.0,1451.0,1452.0,1455.0,1458.0,1464.0,1465.0,1470.0,1471.0,1474.0,1478.0,1479.0,1480.0,1492.0,1493.0,1496.0,1545.0,1546.0,1548.0,1549.0,1551.0,1552.0,1554.0,1555.0,1558.0,1559.0,1569.0,1581.0,1586.0,1588.0,1634.0,1635.0,1636.0,1637.0,1638.0,1639.0,1642.0,1643.0,1644.0,1645.0,1646.0,1648.0,1651.0,1654.0,1665.0,1666.0,1673.0,1687.0,1688.0,1690.0,1696.0,1698.0,1699.0,1700.0,1701.0,1702.0,1703.0,1705.0,1706.0,1707.0,1708.0,1763.0,1764.0,1765.0,1768.0,1769.0,1770.0,1771.0,1773.0,1775.0,1777.0,1782.0,1783.0,1784.0,1786.0,1788.0,1794.0,1798.0,1799.0,1800.0,1802.0,1803.0,1804.0,1805.0,1806.0,1807.0,1808.0,1814.0,1815.0,1826.0,1827.0,1828.0,1829.0,1830.0,2005.0,2006.0,2007.0,2009.0,2010.0,2011.0,2013.0,2014.0,2017.0,2029.0,2036.0,2042.0,2043.0,2278.0,2285.0,2289.0,2290.0,2291.0,2292.0,2294.0,2295.0,2297.0,2298.0,2299.0,2300.0,2304.0,2305.0,2306.0,2307.0,2322.0,2326.0,2334.0,2336.0,2686.0,2687.0,2692.0,2694.0,2695.0,2696.0,3557.0,3559.0,3560.0,3561.0,3562.0,3567.0
1999,,,,,,,,,,,,,,,3.0,3.0,,3.0,,11.0,,4.0,,32.0,,,,9.0,4.0,,,,,,,296.0,353.0,44.0,,,25.0,,,79.0,,43.0,67.0,,,,6.0,,,,,,,11.0,,68.0,,,,363.0,,7.0,,,3.0,4.0,1.0,,,,112.0,,,16.0,,4.0,,,1.0,4.0,2.0,1.0,,,2.0,,,,,323.0,,322.0,,,,,,4.0,11.0,315.0,6.0,11.0,5.0,353.0,269.0,6.0,3.0,11.0,3.0,3.0,,1.0,,4.0,,,,,117.0,,8.0,1.0,,,,8.0,,,,,3.0,3.0,4.0,3.0,3.0,,4.0,,,3.0,,4.0
2000,,1.0,,1.0,1.0,,,,,,,,1.0,,,1.0,,2.0,1.0,12.0,,16.0,3.0,13.0,,,,,23.0,16.0,,,,,,263.0,364.0,29.0,,,22.0,,,75.0,,33.0,55.0,,,1.0,8.0,,,,,,,11.0,,91.0,,,1.0,361.0,,6.0,,1.0,,7.0,3.0,,70.0,,79.0,,,20.0,61.0,66.0,60.0,,3.0,6.0,63.0,56.0,,,63.0,,,55.0,,258.0,1.0,295.0,1.0,1.0,,,1.0,,4.0,366.0,,2.0,2.0,362.0,268.0,,4.0,4.0,4.0,4.0,1.0,,,3.0,,,,,189.0,,11.0,,,,1.0,6.0,1.0,,,,2.0,2.0,4.0,4.0,3.0,,4.0,,1.0,1.0,,8.0
2001,2.0,4.0,,9.0,5.0,,3.0,,,,,,4.0,,,4.0,,4.0,6.0,16.0,,5.0,,40.0,,,,,36.0,44.0,,,,,,358.0,363.0,40.0,,,8.0,,,71.0,,43.0,45.0,,,4.0,51.0,,26.0,,,41.0,41.0,12.0,,325.0,,,,364.0,,7.0,,,,4.0,1.0,,,,299.0,,,12.0,,3.0,,,7.0,9.0,1.0,1.0,,,2.0,,,,,279.0,4.0,189.0,3.0,3.0,,,3.0,,1.0,365.0,,1.0,,365.0,273.0,1.0,4.0,,,4.0,,,,4.0,,,,,274.0,,7.0,,,,,6.0,,,,,3.0,2.0,4.0,4.0,4.0,,6.0,,,4.0,,4.0
2002,,,,,,,,,,,,,4.0,1.0,17.0,5.0,1.0,5.0,8.0,14.0,4.0,9.0,2.0,39.0,,,,,41.0,39.0,,,,,,341.0,365.0,46.0,,10.0,33.0,,,75.0,,47.0,45.0,,,18.0,4.0,,,,,,,11.0,,,,,,365.0,,5.0,,,,5.0,2.0,,,,9.0,,1.0,,,,,,,4.0,1.0,1.0,7.0,6.0,,6.0,,,,4.0,3.0,5.0,4.0,4.0,,,3.0,,1.0,364.0,,1.0,,365.0,269.0,2.0,4.0,6.0,,5.0,20.0,,,,,,,,15.0,5.0,6.0,,,,,5.0,,,,,6.0,3.0,4.0,3.0,3.0,,5.0,1.0,,5.0,,4.0
2003,,,,,,,,,,,,,2.0,,1.0,2.0,,1.0,2.0,14.0,,5.0,9.0,49.0,,,,,49.0,50.0,,,,,,365.0,365.0,47.0,,21.0,73.0,,,76.0,,55.0,53.0,,,16.0,3.0,,,,,,,12.0,,,,,,364.0,,7.0,,,,6.0,4.0,,,,10.0,,4.0,,,,,,1.0,5.0,1.0,1.0,,,,1.0,,,,5.0,,4.0,4.0,,,,,,3.0,365.0,1.0,1.0,,365.0,262.0,,5.0,8.0,,4.0,1.0,,,,,,,,17.0,7.0,8.0,,,,2.0,7.0,,1.0,,,8.0,6.0,5.0,4.0,6.0,,8.0,4.0,,4.0,,5.0
2004,,,,,,,,,,,,,,,1.0,,,,,17.0,,9.0,11.0,46.0,,,,,41.0,41.0,,,,,,242.0,272.0,39.0,,4.0,29.0,,,57.0,,41.0,41.0,,,15.0,10.0,,1.0,,,,,13.0,,,,,,270.0,,5.0,,,,12.0,3.0,,,,7.0,,4.0,,,,,,,25.0,1.0,1.0,,,,,,,,9.0,2.0,9.0,7.0,2.0,2.0,,2.0,,1.0,364.0,,1.0,,366.0,249.0,,4.0,8.0,,6.0,,,,1.0,,,,,14.0,6.0,6.0,,1.0,,,5.0,,,,,5.0,4.0,4.0,5.0,4.0,,11.0,3.0,,3.0,,9.0
2005,,,,,,,,,,,,,,,8.0,3.0,,3.0,,10.0,,16.0,3.0,48.0,10.0,10.0,,,42.0,39.0,,,,,,,,45.0,,,27.0,,9.0,55.0,,43.0,46.0,,9.0,3.0,8.0,,,,11.0,,,1.0,,,,,,,,7.0,,,,9.0,4.0,,,,,,5.0,,,,,,,28.0,1.0,1.0,3.0,,,,,,,8.0,2.0,11.0,,5.0,2.0,,2.0,,1.0,365.0,,1.0,,365.0,268.0,1.0,4.0,8.0,,5.0,,,9.0,11.0,,,,,14.0,7.0,8.0,,,,,8.0,,,,,5.0,5.0,5.0,7.0,4.0,,9.0,3.0,,,,9.0
2006,8.0,,,,,,,,,,,,,,7.0,4.0,,1.0,,8.0,,9.0,4.0,35.0,,,,,40.0,37.0,,,,10.0,,,,37.0,,1.0,27.0,,,50.0,,42.0,41.0,,,4.0,10.0,,,,12.0,,,,,,,,,,,5.0,,,,8.0,4.0,,,,,,6.0,,,,,,,27.0,1.0,1.0,6.0,1.0,,2.0,,,,10.0,2.0,9.0,,6.0,2.0,,2.0,,1.0,365.0,,1.0,,365.0,262.0,,13.0,22.0,,9.0,,,12.0,12.0,,,,,13.0,5.0,6.0,,,,,5.0,,,4.0,,8.0,8.0,12.0,8.0,8.0,,9.0,4.0,1.0,,1.0,9.0
2007,39.0,,,,,,,,,,,,,,1.0,5.0,,,1.0,9.0,,8.0,4.0,42.0,,,,,43.0,45.0,,,,10.0,,,,45.0,,,21.0,,,52.0,,44.0,46.0,,,5.0,9.0,,,,11.0,,,,,,,,,,,7.0,,,5.0,11.0,6.0,,,,,,7.0,2.0,,,,2.0,,33.0,1.0,1.0,5.0,1.0,,12.0,,,2.0,13.0,3.0,9.0,,7.0,3.0,2.0,3.0,,1.0,365.0,,1.0,,362.0,260.0,1.0,9.0,9.0,,10.0,,,,12.0,,,,,13.0,7.0,8.0,,,,,7.0,,,1.0,,10.0,9.0,21.0,10.0,10.0,,21.0,4.0,9.0,,9.0,9.0
2008,33.0,,,,,,,,,,,,,,,5.0,1.0,6.0,,9.0,,9.0,5.0,37.0,,,,,40.0,36.0,,,,,1.0,,,31.0,,,9.0,,,38.0,,33.0,38.0,,,17.0,10.0,,,,12.0,,,,,,,,,,,5.0,,,4.0,9.0,4.0,,,,,,7.0,2.0,,,,2.0,1.0,32.0,1.0,1.0,7.0,3.0,,11.0,,,2.0,16.0,3.0,9.0,,7.0,3.0,2.0,3.0,,1.0,366.0,2.0,1.0,,349.0,265.0,,12.0,12.0,,6.0,,,,12.0,,,,,15.0,5.0,6.0,,,,,5.0,,,1.0,,11.0,8.0,24.0,10.0,12.0,,20.0,4.0,8.0,,8.0,10.0
2009,22.0,,,,,,,,,,,,,1.0,,14.0,2.0,9.0,,18.0,,8.0,12.0,28.0,,,,,32.0,32.0,,,,10.0,1.0,,,33.0,,,,,,47.0,,35.0,36.0,,,17.0,9.0,,,,12.0,,,,,,,,,,,7.0,,,8.0,10.0,8.0,,,,3.0,,4.0,2.0,1.0,,,2.0,19.0,28.0,1.0,1.0,12.0,,,,,,2.0,10.0,8.0,9.0,,6.0,,3.0,8.0,,1.0,362.0,,1.0,,365.0,275.0,,13.0,13.0,1.0,1.0,,,,12.0,,,,,32.0,7.0,8.0,,,1.0,,7.0,1.0,,1.0,,13.0,7.0,14.0,9.0,6.0,,10.0,4.0,,,,9.0
2010,,,,,,,,,,,,,,2.0,3.0,8.0,5.0,39.0,,22.0,,4.0,14.0,,,10.0,10.0,,,,,,,19.0,,,,19.0,,10.0,10.0,,,35.0,,16.0,21.0,10.0,,16.0,10.0,,,,9.0,,,,,,,,,,,5.0,,,6.0,10.0,6.0,,,,18.0,,4.0,1.0,,,,1.0,8.0,25.0,1.0,1.0,4.0,,,,,,1.0,13.0,5.0,4.0,1.0,6.0,,1.0,,,1.0,355.0,,1.0,,358.0,255.0,,14.0,14.0,,,,,,9.0,2.0,,,,10.0,5.0,6.0,,,,1.0,5.0,,,,,12.0,6.0,14.0,6.0,,,4.0,4.0,,,,9.0
2011,,,,,,,,,,,,,,4.0,1.0,4.0,5.0,,6.0,15.0,,4.0,22.0,,,,,,,,,,,10.0,,,,22.0,,,,,,46.0,,19.0,19.0,,,12.0,4.0,,,,,,,,,,,,,,,7.0,,,2.0,8.0,3.0,,,,,,2.0,,,,,,3.0,24.0,1.0,1.0,2.0,2.0,,1.0,,,,13.0,4.0,5.0,15.0,6.0,,,,,2.0,361.0,,1.0,,365.0,255.0,,16.0,16.0,,,,,,,11.0,,,,3.0,7.0,7.0,,,,,7.0,,,,,12.0,6.0,16.0,6.0,,,5.0,2.0,1.0,1.0,,4.0
2012,,,,,,,,,,,,,6.0,4.0,7.0,4.0,9.0,6.0,9.0,8.0,,5.0,9.0,,,,,,,,,3.0,1.0,,,,,19.0,,,,,,56.0,,18.0,327.0,,,7.0,12.0,,,,,,,,,,,,,,,5.0,,,6.0,5.0,,,,,1.0,,,,1.0,,,,,331.0,1.0,1.0,,,,,,,,12.0,,4.0,6.0,,,,,,1.0,363.0,,1.0,,364.0,271.0,,15.0,15.0,,,,,,,12.0,,,,10.0,5.0,6.0,,,,,5.0,,,,,14.0,11.0,15.0,10.0,,,9.0,1.0,1.0,4.0,1.0,5.0
2013,,,,,,,,,,,,,,,1.0,7.0,,5.0,5.0,4.0,,9.0,11.0,,,,,,,,,9.0,,,,,,23.0,,,,,,60.0,,27.0,358.0,,,4.0,5.0,,,,,,,,,,,,,,,8.0,,,6.0,5.0,,,,,,,,,,,,,5.0,365.0,1.0,1.0,,,,,,,,14.0,,5.0,,,,,,,1.0,361.0,,2.0,,365.0,283.0,,13.0,13.0,,,,,,,12.0,,,,12.0,7.0,8.0,,,,,7.0,,,,,11.0,9.0,14.0,12.0,,,10.0,,,,,5.0
2014,,1.0,,,1.0,1.0,1.0,,,,,,,,3.0,5.0,,7.0,5.0,6.0,,7.0,5.0,,,,,,,,,9.0,,,,1.0,1.0,19.0,,1.0,1.0,1.0,,54.0,,22.0,365.0,,,5.0,4.0,,,,,,,,,,,,,,,5.0,,,,5.0,,,,,,,,,,,,,1.0,358.0,1.0,1.0,,,,,,,,6.0,,4.0,1.0,,,,,,1.0,365.0,,1.0,,363.0,284.0,,13.0,14.0,,,,,,,12.0,,,,11.0,5.0,6.0,1.0,,,,5.0,,,,,11.0,6.0,14.0,9.0,,,6.0,,,,,5.0
2015,,,,,,,,,,,,,,1.0,1.0,2.0,,5.0,1.0,5.0,,4.0,3.0,,,,,,,,,3.0,,,,,,25.0,,,,,,58.0,,25.0,365.0,,,1.0,14.0,,,,,,,3.0,,,,,,,,7.0,,,1.0,8.0,,,,,,,,,2.0,,,,4.0,365.0,1.0,1.0,,,,,,,,7.0,,4.0,5.0,,,,,,1.0,355.0,,1.0,,365.0,284.0,,15.0,15.0,,,,,,,11.0,,,,12.0,7.0,8.0,,,,,7.0,,,,,15.0,6.0,16.0,6.0,,,10.0,,,2.0,,5.0
2016,,,,,4.0,,,,,,,,1.0,1.0,,2.0,,5.0,1.0,5.0,,9.0,4.0,,,,4.0,,,,,,,,,,,18.0,,,,,,56.0,1.0,22.0,364.0,,,1.0,14.0,,,,,,,12.0,,,,,,,,5.0,,,8.0,7.0,1.0,,,,,,,,,,,6.0,10.0,360.0,1.0,1.0,2.0,1.0,,1.0,,,,21.0,1.0,4.0,17.0,1.0,5.0,,,,1.0,362.0,1.0,1.0,,366.0,309.0,,16.0,16.0,,,,,,,12.0,,,,102.0,5.0,6.0,,,,,5.0,,,,,16.0,9.0,15.0,6.0,,2.0,16.0,8.0,7.0,10.0,,6.0
2017,,,,,,,,,,,,,2.0,9.0,7.0,7.0,7.0,10.0,8.0,4.0,,8.0,8.0,,,,,,,,,,,,,86.0,92.0,16.0,,2.0,3.0,,,118.0,1.0,28.0,357.0,,,11.0,5.0,,,,,,,12.0,,,,,,91.0,,7.0,,,6.0,6.0,,,,,,,,,,,,4.0,5.0,365.0,1.0,1.0,3.0,7.0,,2.0,,,,19.0,1.0,5.0,10.0,1.0,5.0,,,,1.0,360.0,,1.0,,362.0,365.0,,14.0,14.0,,,,,,,12.0,,,,349.0,7.0,8.0,,,,,7.0,,,,,14.0,12.0,14.0,9.0,,,15.0,6.0,9.0,12.0,1.0,5.0
2018,,,103.0,,,,,,,,124.0,,,12.0,14.0,8.0,5.0,12.0,5.0,5.0,,5.0,7.0,,,,,,,,,,,137.0,,365.0,365.0,20.0,,2.0,1.0,,,365.0,1.0,21.0,361.0,,,24.0,4.0,,,,,,,11.0,,,,,,356.0,1.0,5.0,,,1.0,8.0,,,,,,,,,1.0,,90.0,,,361.0,1.0,1.0,,,66.0,4.0,75.0,43.0,,4.0,,4.0,,,,,,,1.0,365.0,,1.0,,365.0,365.0,,14.0,102.0,,,,,,,102.0,,,,327.0,4.0,96.0,,,,,5.0,,,,,14.0,9.0,14.0,12.0,,,11.0,,1.0,1.0,,5.0
2019,,,365.0,84.0,84.0,,,173.0,,,363.0,,,,,,,,,2.0,,3.0,,,,,,,,,,20.0,,365.0,,303.0,285.0,106.0,,,105.0,173.0,,321.0,,96.0,364.0,22.0,74.0,,3.0,,41.0,,,,,5.0,,81.0,,81.0,49.0,345.0,3.0,3.0,82.0,,1.0,6.0,1.0,,,,,,,,,,361.0,,1.0,360.0,,,,2.0,240.0,58.0,228.0,364.0,,3.0,,4.0,,,,,,,,280.0,,,,221.0,113.0,,10.0,341.0,,,,,,,365.0,,,,83.0,3.0,169.0,,,,,2.0,,,,,8.0,4.0,8.0,112.0,,,3.0,,,,,3.0
